SMPDB.Name	SMPDB.ID	Pathway.Class	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Glycogenosis, Type III. Cori Disease, Debrancher Glycogenosis	SMP0000553	Disease	30	12	HMDB0000660;HMDB0000538;HMDB0002111;HMDB0001429;HMDB0006857;HMDB0001341;HMDB0000902;HMDB0001487;HMDB0003345;HMDB0000250;HMDB0001491;HMDB0000295	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163
Glycogen Synthetase Deficiency	SMP0000552	Disease	30	12	HMDB0001487;HMDB0001491;HMDB0001429;HMDB0000295;HMDB0006857;HMDB0000902;HMDB0000660;HMDB0003345;HMDB0000538;HMDB0000250;HMDB0002111;HMDB0001341	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163
Glycogenosis, Type IV. Amylopectinosis, Anderson Disease	SMP0000554	Disease	30	12	HMDB0006857;HMDB0001429;HMDB0000250;HMDB0000902;HMDB0000538;HMDB0000295;HMDB0002111;HMDB0003345;HMDB0001491;HMDB0000660;HMDB0001487;HMDB0001341	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163
Glycogenosis, Type VI. Hers Disease	SMP0000555	Disease	30	12	HMDB0006857;HMDB0003345;HMDB0000660;HMDB0001341;HMDB0000250;HMDB0001491;HMDB0000295;HMDB0001487;HMDB0000538;HMDB0000902;HMDB0001429;HMDB0002111	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163
Mucopolysaccharidosis VII. Sly Syndrome	SMP0000556	Disease	30	12	HMDB0001429;HMDB0000295;HMDB0001487;HMDB0000250;HMDB0000538;HMDB0002111;HMDB0001341;HMDB0006857;HMDB0000660;HMDB0001491;HMDB0003345;HMDB0000902	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163
Starch and Sucrose Metabolism	SMP0000058	Metabolic	30	12	HMDB0002111;HMDB0001491;HMDB0001341;HMDB0000660;HMDB0000250;HMDB0000538;HMDB0001429;HMDB0006857;HMDB0001487;HMDB0000902;HMDB0003345;HMDB0000295	0.5251052246433523	0.07789855072463768	1.4433687618083697	0.3712340918121163
S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	SMP0000214	Disease	42	18	HMDB0003125;HMDB0001487;HMDB0000051;HMDB0001967;HMDB0000574;HMDB0001491;HMDB0000123;HMDB0001185;HMDB0001429;HMDB0000902;HMDB0000099;HMDB0001377;HMDB0000045;HMDB0000538;HMDB0000939;HMDB0000250;HMDB0002111;HMDB0001248	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828
Cystathionine beta-Synthase Deficiency	SMP0000177	Disease	42	18	HMDB0000574;HMDB0001248;HMDB0000051;HMDB0000902;HMDB0000099;HMDB0000939;HMDB0000250;HMDB0000045;HMDB0001491;HMDB0001487;HMDB0001967;HMDB0000538;HMDB0000123;HMDB0001377;HMDB0003125;HMDB0001429;HMDB0001185;HMDB0002111	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828
Glycine N-Methyltransferase Deficiency	SMP0000222	Disease	42	18	HMDB0001248;HMDB0002111;HMDB0001185;HMDB0003125;HMDB0000051;HMDB0000574;HMDB0000045;HMDB0000902;HMDB0000099;HMDB0001967;HMDB0001491;HMDB0000939;HMDB0000123;HMDB0000538;HMDB0001487;HMDB0001377;HMDB0001429;HMDB0000250	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)-SMP0000340	SMP0000340	Disease	42	18	HMDB0001248;HMDB0002111;HMDB0001185;HMDB0003125;HMDB0000051;HMDB0000574;HMDB0000045;HMDB0000902;HMDB0000099;HMDB0001967;HMDB0001491;HMDB0000939;HMDB0000123;HMDB0000538;HMDB0001487;HMDB0001377;HMDB0001429;HMDB0000250	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828
Methionine Adenosyltransferase Deficiency	SMP0000221	Disease	42	18	HMDB0001967;HMDB0001487;HMDB0001185;HMDB0000574;HMDB0001429;HMDB0001491;HMDB0000902;HMDB0000250;HMDB0001248;HMDB0003125;HMDB0000045;HMDB0000099;HMDB0000538;HMDB0001377;HMDB0000051;HMDB0000123;HMDB0000939;HMDB0002111	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828
Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type	SMP0000570	Disease	42	18	HMDB0001429;HMDB0003125;HMDB0001377;HMDB0001487;HMDB0000250;HMDB0000051;HMDB0000099;HMDB0001248;HMDB0000939;HMDB0002111;HMDB0000538;HMDB0000045;HMDB0001967;HMDB0000574;HMDB0001491;HMDB0001185;HMDB0000123;HMDB0000902	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828
Hypermethioninemia	SMP0000341	Disease	42	18	HMDB0003125;HMDB0001487;HMDB0000051;HMDB0001967;HMDB0000574;HMDB0001491;HMDB0000123;HMDB0001185;HMDB0001429;HMDB0000902;HMDB0000099;HMDB0001377;HMDB0000045;HMDB0000538;HMDB0000939;HMDB0000250;HMDB0002111;HMDB0001248	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828
Methionine Metabolism	SMP0000033	Metabolic	42	18	HMDB0000574;HMDB0001248;HMDB0000051;HMDB0000902;HMDB0000099;HMDB0000939;HMDB0000250;HMDB0000045;HMDB0001491;HMDB0001487;HMDB0001967;HMDB0000538;HMDB0000123;HMDB0001377;HMDB0003125;HMDB0001429;HMDB0001185;HMDB0002111	0.45168218928636356	0.11150442477876106	1.363976766108815	0.3746714994323828
Hypophosphatasia	SMP0000503	Disease	19	7	HMDB0002111;HMDB0001248;HMDB0001429;HMDB0003125;HMDB0000051;HMDB0001491;HMDB0001377	0.5795564127290241	0.1474820143884892	1.357997525472959	0.3756761549607771
Vitamin B6 Metabolism	SMP0000017	Metabolic	19	7	HMDB0001429;HMDB0003125;HMDB0001377;HMDB0000051;HMDB0001248;HMDB0002111;HMDB0001491	0.5795564127290241	0.1474820143884892	1.357997525472959	0.3756761549607771
Folate Metabolism	SMP0000053	Metabolic	29	15	HMDB0001248;HMDB0001341;HMDB0002111;HMDB0059597;HMDB0000051;HMDB0000902;HMDB0000221;HMDB0001967;HMDB0000148;HMDB0001491;HMDB0000217;HMDB0000538;HMDB0001487;HMDB0001562;HMDB0001429	0.49247833875764524	0.08687615526802218	1.4132870510357451	0.37669476992263284
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)-SMP0000543	SMP0000543	Disease	29	15	HMDB0000217;HMDB0001248;HMDB0000051;HMDB0000221;HMDB0001341;HMDB0000902;HMDB0001562;HMDB0001491;HMDB0001487;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0059597;HMDB0001429;HMDB0002111	0.49247833875764524	0.08687615526802218	1.4132870510357451	0.37669476992263284
Folate Malabsorption, Hereditary	SMP0000724	Disease	29	15	HMDB0001248;HMDB0000902;HMDB0000148;HMDB0001491;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0059597;HMDB0000221;HMDB0000051;HMDB0001429;HMDB0001967;HMDB0001562	0.49247833875764524	0.08687615526802218	1.4132870510357451	0.37669476992263284
Warburg Effect	SMP0000654	Metabolic	57	22	HMDB0001248;HMDB0000538;HMDB0002111;HMDB0000223;HMDB0001341;HMDB0000122;HMDB0000902;HMDB0000208;HMDB0000254;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0000134;HMDB0003498;HMDB0001072;HMDB0001429;HMDB0059597;HMDB0001333;HMDB0000051;HMDB0000148;HMDB0003391;HMDB0001967	0.4274634632027033	0.11262798634812286	1.3550870113822255	0.3783533446762302
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	SMP0000482	Metabolic	27	9	HMDB0001248;HMDB0000902;HMDB0000250;HMDB0000045;HMDB0003932;HMDB0001487;HMDB0000538;HMDB0059597;HMDB0002111	0.5400010873802974	0.1404494382022472	1.3352376140193318	0.3785728471801706
The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxyglutaric aciduria 	SMP0002358	Disease	40	19	HMDB0002111;HMDB0001341;HMDB0000051;HMDB0000254;HMDB0000217;HMDB0000134;HMDB0000148;HMDB0000221;HMDB0000208;HMDB0059597;HMDB0001487;HMDB0001967;HMDB0001072;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0001333;HMDB0000223;HMDB0000902	0.43750263497792746	0.12631578947368421	1.338893763950831	0.37859945659547317
The Oncogenic Action of D-2-Hydroxyglutarate in Hydroxyglutaric aciduria 	SMP0002359	Disease	41	19	HMDB0001487;HMDB0000051;HMDB0000208;HMDB0000902;HMDB0000254;HMDB0001341;HMDB0000223;HMDB0001429;HMDB0001072;HMDB0002111;HMDB0000217;HMDB0001248;HMDB0001967;HMDB0001333;HMDB0059597;HMDB0000134;HMDB0000221;HMDB0000538;HMDB0000148	0.43750263497792746	0.12631578947368421	1.338893763950831	0.37859945659547317
The Oncogenic Action of 2-Hydroxyglutarate	SMP0002291	Disease	39	19	HMDB0000148;HMDB0002111;HMDB0000051;HMDB0001248;HMDB0000902;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0000223;HMDB0000134;HMDB0000208;HMDB0001333;HMDB0059597;HMDB0000221;HMDB0001967;HMDB0000254;HMDB0001341;HMDB0001072;HMDB0001429	0.43750263497792746	0.12631578947368421	1.338893763950831	0.37859945659547317
Kidney Function - Collecting Duct	SMP0121011	Physiological	12	6	HMDB0001035;HMDB0059597;HMDB0002111;HMDB0000294;HMDB0001980;HMDB0001967	0.6027457090880357	0.150278293135436	1.3376112340980866	0.37868083333794805
Methotrexate Action Pathway	SMP0000432	Drug Action	30	16	HMDB0001967;HMDB0000538;HMDB0000221;HMDB0002111;HMDB0001248;HMDB0001429;HMDB0000902;HMDB0001341;HMDB0001487;HMDB0000051;HMDB0000148;HMDB0014703;HMDB0059597;HMDB0001562;HMDB0000217;HMDB0001491	0.46345680777924736	0.11602209944751381	1.3606835443078564	0.37925199598250003
Mitochondrial Electron Transport Chain	SMP0000355	Metabolic	18	12	HMDB0001248;HMDB0000134;HMDB0000902;HMDB0000254;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0001072;HMDB0001377;HMDB0001487;HMDB0059597;HMDB0001429	0.48636141753601136	0.14130434782608695	1.33687277154233	0.37967539717561966
Taurine and Hypotaurine Metabolism	SMP0000021	Metabolic	12	6	HMDB0001967;HMDB0000574;HMDB0001491;HMDB0001377;HMDB0002757;HMDB0002991	0.6119694364133439	0.137291280148423	1.3580804985068817	0.38049229798278406
Citric Acid Cycle	SMP0000057	Metabolic	32	15	HMDB0001341;HMDB0001487;HMDB0000208;HMDB0001248;HMDB0059597;HMDB0000223;HMDB0000134;HMDB0001333;HMDB0000254;HMDB0000902;HMDB0001072;HMDB0002111;HMDB0000538;HMDB0001429;HMDB0001967	0.4932624432556043	0.08687615526802218	1.415537230681047	0.3821072905951104
Congenital Lactic Acidosis	SMP0000546	Disease	32	15	HMDB0001248;HMDB0001341;HMDB0000223;HMDB0059597;HMDB0000134;HMDB0000902;HMDB0001967;HMDB0000208;HMDB0001072;HMDB0001333;HMDB0000538;HMDB0000254;HMDB0001487;HMDB0001429;HMDB0002111	0.4932624432556043	0.08687615526802218	1.415537230681047	0.3821072905951104
Fumarase Deficiency	SMP0000547	Disease	32	15	HMDB0002111;HMDB0001487;HMDB0000538;HMDB0000208;HMDB0001248;HMDB0001341;HMDB0001333;HMDB0000223;HMDB0001429;HMDB0000254;HMDB0001072;HMDB0001967;HMDB0000134;HMDB0000902;HMDB0059597	0.4932624432556043	0.08687615526802218	1.415537230681047	0.3821072905951104
Mitochondrial Complex II Deficiency	SMP0000548	Disease	32	15	HMDB0001487;HMDB0001072;HMDB0000134;HMDB0001429;HMDB0000223;HMDB0000208;HMDB0000902;HMDB0001333;HMDB0001248;HMDB0001341;HMDB0000538;HMDB0000254;HMDB0001967;HMDB0059597;HMDB0002111	0.4932624432556043	0.08687615526802218	1.415537230681047	0.3821072905951104
Pyruvate Dehydrogenase Deficiency (E2)	SMP0000551	Disease	32	15	HMDB0001341;HMDB0001487;HMDB0000208;HMDB0001248;HMDB0059597;HMDB0000223;HMDB0000134;HMDB0001333;HMDB0000254;HMDB0000902;HMDB0001072;HMDB0002111;HMDB0000538;HMDB0001429;HMDB0001967	0.4932624432556043	0.08687615526802218	1.415537230681047	0.3821072905951104
Pyruvate Dehydrogenase Deficiency (E3)	SMP0000550	Disease	32	15	HMDB0002111;HMDB0000902;HMDB0001341;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0000208;HMDB0059597;HMDB0000254;HMDB0001487;HMDB0001333;HMDB0000223;HMDB0001967;HMDB0000134;HMDB0001072	0.4932624432556043	0.08687615526802218	1.415537230681047	0.3821072905951104
2-Ketoglutarate Dehydrogenase Complex Deficiency	SMP0000549	Disease	32	15	HMDB0001248;HMDB0000902;HMDB0000134;HMDB0000254;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0001333;HMDB0001072;HMDB0001487;HMDB0000208;HMDB0059597;HMDB0001429;HMDB0001967;HMDB0000223	0.4932624432556043	0.08687615526802218	1.415537230681047	0.3821072905951104
Estrone Metabolism	SMP0030880	Metabolic	24	11	HMDB0001377;HMDB0000295;HMDB0001487;HMDB0000217;HMDB0000939;HMDB0002111;HMDB0004482;HMDB0000221;HMDB0059597;HMDB0001185;HMDB0000902	0.5347280511057589	0.0931899641577061	1.4362416907847826	0.3849187853961547
Thioguanine Action Pathway	SMP0000430	Drug Action	85	23	HMDB0002111;HMDB0000123;HMDB0001341;HMDB0000051;HMDB0000217;HMDB0001377;HMDB0000134;HMDB0000299;HMDB0000148;HMDB0000191;HMDB0001185;HMDB0000221;HMDB0003125;HMDB0001487;HMDB0001967;HMDB0000045;HMDB0000250;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0014496;HMDB0000902;HMDB0000939	0.42001575741493485	0.11498257839721254	1.3293116902385447	0.3851161362712572
Etoposide Action Pathway	SMP0000442	Drug Action	15	8	HMDB0001487;HMDB0000295;HMDB0001429;HMDB0001341;HMDB0000902;HMDB0000538;HMDB0001377;HMDB0002111	0.5538163569081263	0.13696060037523453	1.3390804135048975	0.38535264406602276
Etoposide Metabolism Pathway	SMP0000601	Drug Metabolism	15	8	HMDB0001341;HMDB0000295;HMDB0001377;HMDB0000902;HMDB0000538;HMDB0002111;HMDB0001487;HMDB0001429	0.5538163569081263	0.13696060037523453	1.3390804135048975	0.38535264406602276
Codeine Action Pathway	SMP0000405	Drug Action	21	8	HMDB0001341;HMDB0001487;HMDB0000295;HMDB0001377;HMDB0000902;HMDB0002111;HMDB0000538;HMDB0001429	0.5538163569081263	0.13696060037523453	1.3390804135048975	0.38535264406602276
Artemether Metabolism Pathway	SMP0000651	Drug Metabolism	10	5	HMDB0002111;HMDB0000902;HMDB0001487;HMDB0001377;HMDB0000295	0.6438883541867189	0.13092979127134724	1.3299252555130798	0.38591631944131516
Codeine Metabolism Pathway	SMP0000621	Drug Metabolism	12	5	HMDB0000295;HMDB0000902;HMDB0001377;HMDB0001487;HMDB0002111	0.6438883541867189	0.13092979127134724	1.3299252555130798	0.38591631944131516
Ammonia Recycling	SMP0000009	Metabolic	30	18	HMDB0002111;HMDB0000045;HMDB0001487;HMDB0000538;HMDB0000208;HMDB0001248;HMDB0000191;HMDB0001341;HMDB0001096;HMDB0000148;HMDB0000123;HMDB0001429;HMDB0001451;HMDB0001491;HMDB0000051;HMDB0001967;HMDB0000250;HMDB0000902	0.47467236052176903	0.08141592920353982	1.4334018179655208	0.38667401652243366
Glucose-Alanine Cycle	SMP0000127	Metabolic	11	9	HMDB0000208;HMDB0002111;HMDB0000902;HMDB0000122;HMDB0001487;HMDB0000051;HMDB0000148;HMDB0059597;HMDB0001491	0.5801045331964719	0.07116104868913857	1.4343996908316536	0.38797331880677977
Spermidine and Spermine Biosynthesis	SMP0000445	Metabolic	17	9	HMDB0000250;HMDB0001491;HMDB0001185;HMDB0001967;HMDB0000214;HMDB0001429;HMDB0002111;HMDB0000538;HMDB0059597	0.5690000379623664	0.08426966292134831	1.4069420799716332	0.3884783924364869
Aldosterone from Steroidogenesis 	SMP0121126	Physiological	17	6	HMDB0000902;HMDB0001377;HMDB0059597;HMDB0001035;HMDB0002111;HMDB0001487	0.644508670520229	0.09461966604823747	1.4302914565179654	0.38864802649521074
Caffeine Metabolism	SMP0000028	Metabolic	23	6	HMDB0002111;HMDB0001487;HMDB0001248;HMDB0000902;HMDB0001377;HMDB0003125	0.6078998073217701	0.14100185528756956	1.3490491914242684	0.3887679566660091
Sialuria or French Type Sialuria	SMP0000216	Disease	32	10	HMDB0000660;HMDB0000295;HMDB0001341;HMDB0000230;HMDB0002111;HMDB0000051;HMDB0000148;HMDB0000538;HMDB0001429;HMDB0000250	0.5497501940603599	0.09549549549549549	1.420961794290599	0.3900112434875726
Tay-Sachs Disease	SMP0000390	Disease	32	10	HMDB0002111;HMDB0000148;HMDB0001341;HMDB0000660;HMDB0000051;HMDB0000250;HMDB0000538;HMDB0001429;HMDB0000230;HMDB0000295	0.5497501940603599	0.09549549549549549	1.420961794290599	0.3900112434875726
Salla Disease/Infantile Sialic Acid Storage Disease	SMP0000240	Disease	32	10	HMDB0000660;HMDB0000295;HMDB0001341;HMDB0000230;HMDB0002111;HMDB0000051;HMDB0000148;HMDB0000538;HMDB0001429;HMDB0000250	0.5497501940603599	0.09549549549549549	1.420961794290599	0.3900112434875726
Amino Sugar Metabolism	SMP0000045	Metabolic	32	10	HMDB0000295;HMDB0000230;HMDB0000148;HMDB0000660;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0000250;HMDB0000051;HMDB0001429	0.5497501940603599	0.09549549549549549	1.420961794290599	0.3900112434875726
Alanine Metabolism	SMP0000055	Metabolic	17	11	HMDB0000223;HMDB0001341;HMDB0000045;HMDB0000148;HMDB0000208;HMDB0001491;HMDB0001333;HMDB0000538;HMDB0000123;HMDB0001429;HMDB0000250	0.49948853349591127	0.15412186379928317	1.3415908411617887	0.39010682605619174
Lactic Acidemia	SMP0000313	Disease	17	11	HMDB0001429;HMDB0000250;HMDB0001333;HMDB0000148;HMDB0000538;HMDB0001341;HMDB0000223;HMDB0000045;HMDB0000208;HMDB0001491;HMDB0000123	0.49948853349591127	0.15412186379928317	1.3415908411617887	0.39010682605619174
Primary Hyperoxaluria Type I	SMP0000352	Disease	17	11	HMDB0001341;HMDB0000223;HMDB0000250;HMDB0000045;HMDB0001491;HMDB0000538;HMDB0000148;HMDB0000208;HMDB0000123;HMDB0001429;HMDB0001333	0.49948853349591127	0.15412186379928317	1.3415908411617887	0.39010682605619174
Pyruvate Carboxylase Deficiency	SMP0000350	Disease	17	11	HMDB0000045;HMDB0001341;HMDB0001491;HMDB0000208;HMDB0000148;HMDB0000223;HMDB0001333;HMDB0000250;HMDB0000538;HMDB0001429;HMDB0000123	0.49948853349591127	0.15412186379928317	1.3415908411617887	0.39010682605619174
Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease	SMP0000374	Disease	33	16	HMDB0003345;HMDB0003498;HMDB0001341;HMDB0003391;HMDB0059597;HMDB0000223;HMDB0002111;HMDB0000902;HMDB0001294;HMDB0001967;HMDB0000208;HMDB0001333;HMDB0000538;HMDB0001487;HMDB0000122;HMDB0001429	0.4929646727883765	0.07366482504604052	1.4473170032874993	0.39354682141246716
Gluconeogenesis	SMP0000128	Metabolic	33	16	HMDB0000223;HMDB0001487;HMDB0000208;HMDB0001967;HMDB0003391;HMDB0001429;HMDB0003498;HMDB0000902;HMDB0001294;HMDB0003345;HMDB0000538;HMDB0001333;HMDB0000122;HMDB0002111;HMDB0001341;HMDB0059597	0.4929646727883765	0.07366482504604052	1.4473170032874993	0.39354682141246716
Phosphoenolpyruvate Carboxykinase Deficiency 1 (PEPCK1)	SMP0000560	Disease	33	16	HMDB0001967;HMDB0001487;HMDB0000122;HMDB0001429;HMDB0000223;HMDB0000208;HMDB0000902;HMDB0001333;HMDB0002111;HMDB0001341;HMDB0003345;HMDB0000538;HMDB0003391;HMDB0059597;HMDB0003498;HMDB0001294	0.4929646727883765	0.07366482504604052	1.4473170032874993	0.39354682141246716
Fructose-1,6-diphosphatase Deficiency	SMP0000562	Disease	33	16	HMDB0001341;HMDB0001487;HMDB0003345;HMDB0000208;HMDB0059597;HMDB0000223;HMDB0001333;HMDB0000902;HMDB0003391;HMDB0001294;HMDB0003498;HMDB0002111;HMDB0000538;HMDB0000122;HMDB0001429;HMDB0001967	0.4929646727883765	0.07366482504604052	1.4473170032874993	0.39354682141246716
Triosephosphate Isomerase Deficiency	SMP0000563	Disease	33	16	HMDB0002111;HMDB0000122;HMDB0000902;HMDB0001341;HMDB0001294;HMDB0000538;HMDB0003498;HMDB0001429;HMDB0000208;HMDB0059597;HMDB0001487;HMDB0003391;HMDB0001333;HMDB0003345;HMDB0001967;HMDB0000223	0.4929646727883765	0.07366482504604052	1.4473170032874993	0.39354682141246716
Glycogenosis, Type IA. Von Gierke Disease	SMP0000581	Disease	33	16	HMDB0000223;HMDB0001294;HMDB0001487;HMDB0001341;HMDB0000902;HMDB0003391;HMDB0001967;HMDB0000122;HMDB0001429;HMDB0003498;HMDB0002111;HMDB0000538;HMDB0059597;HMDB0003345;HMDB0000208;HMDB0001333	0.4929646727883765	0.07366482504604052	1.4473170032874993	0.39354682141246716
Glycogenosis, Type IB	SMP0000573	Disease	33	16	HMDB0000122;HMDB0000902;HMDB0002111;HMDB0001967;HMDB0001341;HMDB0000538;HMDB0059597;HMDB0003345;HMDB0003498;HMDB0001487;HMDB0000208;HMDB0001333;HMDB0001294;HMDB0001429;HMDB0003391;HMDB0000223	0.4929646727883765	0.07366482504604052	1.4473170032874993	0.39354682141246716
Glycogenosis, Type IC	SMP0000574	Disease	33	16	HMDB0001967;HMDB0001487;HMDB0000122;HMDB0001429;HMDB0000223;HMDB0000208;HMDB0000902;HMDB0001333;HMDB0002111;HMDB0001341;HMDB0003345;HMDB0000538;HMDB0003391;HMDB0059597;HMDB0003498;HMDB0001294	0.4929646727883765	0.07366482504604052	1.4473170032874993	0.39354682141246716
Succinic Semialdehyde Dehydrogenase Deficiency	SMP0000567	Disease	48	25	HMDB0000223;HMDB0000250;HMDB0001491;HMDB0000254;HMDB0000123;HMDB0001429;HMDB0001248;HMDB0000051;HMDB0000221;HMDB0000191;HMDB0000045;HMDB0001096;HMDB0000208;HMDB0001301;HMDB0000574;HMDB0001487;HMDB0059597;HMDB0002111;HMDB0000217;HMDB0001341;HMDB0001259;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0000902	0.4162487882913922	0.10374149659863946	1.3652846799090643	0.3939809023012936
Glutamate Metabolism	SMP0000072	Metabolic	48	25	HMDB0000221;HMDB0000148;HMDB0001341;HMDB0000254;HMDB0001487;HMDB0001491;HMDB0000902;HMDB0000191;HMDB0000223;HMDB0001259;HMDB0000208;HMDB0000123;HMDB0000250;HMDB0000051;HMDB0000045;HMDB0001248;HMDB0000217;HMDB0000574;HMDB0001967;HMDB0001096;HMDB0001429;HMDB0002111;HMDB0000538;HMDB0059597;HMDB0001301	0.4162487882913922	0.10374149659863946	1.3652846799090643	0.3939809023012936
4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	SMP0000243	Disease	48	25	HMDB0000208;HMDB0000223;HMDB0000902;HMDB0001301;HMDB0000538;HMDB0000254;HMDB0001487;HMDB0001491;HMDB0000250;HMDB0001248;HMDB0001259;HMDB0000148;HMDB0059597;HMDB0000123;HMDB0001967;HMDB0002111;HMDB0001429;HMDB0001341;HMDB0000191;HMDB0000045;HMDB0000574;HMDB0000051;HMDB0001096;HMDB0000217;HMDB0000221	0.4162487882913922	0.10374149659863946	1.3652846799090643	0.3939809023012936
2-Hydroxyglutric Aciduria (D and L Form)	SMP0000136	Disease	48	25	HMDB0000208;HMDB0001487;HMDB0000051;HMDB0000902;HMDB0000254;HMDB0000250;HMDB0001301;HMDB0001341;HMDB0000223;HMDB0001429;HMDB0001096;HMDB0002111;HMDB0000217;HMDB0001248;HMDB0001967;HMDB0000574;HMDB0059597;HMDB0000221;HMDB0001491;HMDB0001259;HMDB0000123;HMDB0000191;HMDB0000045;HMDB0000538;HMDB0000148	0.4162487882913922	0.10374149659863946	1.3652846799090643	0.3939809023012936
Homocarnosinosis	SMP0000385	Disease	48	25	HMDB0000208;HMDB0000223;HMDB0000902;HMDB0001301;HMDB0000538;HMDB0000254;HMDB0001487;HMDB0001491;HMDB0000250;HMDB0001248;HMDB0001259;HMDB0000148;HMDB0059597;HMDB0000123;HMDB0001967;HMDB0002111;HMDB0001429;HMDB0001341;HMDB0000191;HMDB0000045;HMDB0000574;HMDB0000051;HMDB0001096;HMDB0000217;HMDB0000221	0.4162487882913922	0.10374149659863946	1.3652846799090643	0.3939809023012936
Hyperinsulinism-Hyperammonemia Syndrome	SMP0000339	Disease	48	25	HMDB0000223;HMDB0000208;HMDB0000191;HMDB0001248;HMDB0000574;HMDB0001341;HMDB0000902;HMDB0000148;HMDB0059597;HMDB0000254;HMDB0001487;HMDB0000051;HMDB0000538;HMDB0001259;HMDB0000045;HMDB0000123;HMDB0000217;HMDB0001967;HMDB0000221;HMDB0002111;HMDB0001429;HMDB0001301;HMDB0001096;HMDB0000250;HMDB0001491	0.4162487882913922	0.10374149659863946	1.3652846799090643	0.3939809023012936
D-Arginine and D-Ornithine Metabolism	SMP0000036	Metabolic	11	7	HMDB0001377;HMDB0003125;HMDB0006875;HMDB0000051;HMDB0001248;HMDB0000294;HMDB0002111	0.608486017357762	0.09712230215827339	1.425784423583093	0.39738350084093405
Malate-Aspartate Shuttle	SMP0000129	Metabolic	10	8	HMDB0001487;HMDB0000208;HMDB0000191;HMDB0000148;HMDB0000223;HMDB0001491;HMDB0000902;HMDB0059597	0.5885404926839567	0.08818011257035648	1.4230403932225295	0.3982018670688886
Phenytoin (Antiarrhythmic) Action Pathway	SMP0000327	Drug Action	26	12	HMDB0000217;HMDB0001429;HMDB0000939;HMDB0001248;HMDB0000538;HMDB0001377;HMDB0000295;HMDB0059597;HMDB0002111;HMDB0000221;HMDB0001185;HMDB0001341	0.5254175568223003	0.07789855072463768	1.444227276424573	0.39864682336325324
Inositol Metabolism	SMP0000011	Metabolic	28	10	HMDB0001377;HMDB0002111;HMDB0000538;HMDB0001341;HMDB0000211;HMDB0001333;HMDB0001429;HMDB0006235;HMDB0000250;HMDB0000902	0.5192830609041831	0.13693693693693693	1.342212150062664	0.39903364738585184
Galactose Metabolism	SMP0000043	Metabolic	36	13	HMDB0001487;HMDB0000660;HMDB0000122;HMDB0000295;HMDB0001429;HMDB0001341;HMDB0000902;HMDB0000250;HMDB0000302;HMDB0003345;HMDB0000538;HMDB0000211;HMDB0002111	0.4992154621051785	0.10786106032906764	1.3979948979401293	0.39913862077183665
Galactosemia	SMP0000182	Disease	36	13	HMDB0003345;HMDB0000660;HMDB0001341;HMDB0000250;HMDB0000122;HMDB0000302;HMDB0000295;HMDB0001487;HMDB0000538;HMDB0000902;HMDB0001429;HMDB0000211;HMDB0002111	0.4992154621051785	0.10786106032906764	1.3979948979401293	0.39913862077183665
Tramadol Metabolism Pathway	SMP0000637	Drug Metabolism	18	8	HMDB0000902;HMDB0001377;HMDB0000538;HMDB0000295;HMDB0059597;HMDB0002111;HMDB0001487;HMDB0001341	0.5888217948265491	0.08818011257035648	1.4237205576574072	0.39933949576970873
