"SMPDB.Name"	"SMPDB.ID"	"Pathway.Class"	"TermSize"	"N_Hit"	"Hit"	"pvalue"	"MetaboliteRatio"	"BgRatio"	"FoldEnrichment"	"EnrichmentFactor"	"p.adjust"
"Etodolac Action Pathway"	"SMP0000084"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Ketoprofen Action Pathway"	"SMP0000085"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Rofecoxib Action Pathway"	"SMP0000087"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Sulindac Action Pathway"	"SMP0000094"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Ketorolac Action Pathway"	"SMP0000098"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Suprofen Action Pathway"	"SMP0000101"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Bromfenac Action Pathway"	"SMP0000102"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Mefenamic Acid Action Pathway"	"SMP0000109"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Oxaprozin Action Pathway"	"SMP0000113"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Nabumetone Action Pathway"	"SMP0000114"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Diflunisal Action Pathway"	"SMP0000289"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Antipyrine Action Pathway"	"SMP0000692"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Antrafenine Action Pathway"	"SMP0000693"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Carprofen Action Pathway"	"SMP0000694"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Etoricoxib Action Pathway"	"SMP0000695"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Fenoprofen Action Pathway"	"SMP0000696"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Flurbiprofen Action Pathway"	"SMP0000697"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Magnesium Salicylate Action Pathway"	"SMP0000698"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Lumiracoxib Action Pathway"	"SMP0000699"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Lornoxicam Action Pathway"	"SMP0000700"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Phenylbutazone Action Pathway"	"SMP0000701"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Nepafenac Action Pathway"	"SMP0000702"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Trisalicylate-Choline Action Pathway"	"SMP0000703"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Tolmetin Action Pathway"	"SMP0000704"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Tiaprofenic Acid Action Pathway"	"SMP0000705"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Tenoxicam Action Pathway"	"SMP0000706"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Salsalate Action Pathway"	"SMP0000707"	"Drug Action"	21	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00178973895664308	0.00903614457831325	0.00180940892641737	4.99397590361446	8.29	0.0053052976214777
"Malate-Aspartate Shuttle"	"SMP0000129"	"Metabolic"	6	2	"HMDB0000191;HMDB0000148"	0.00197265059103527	0.00602409638554217	0.000516973978976391	11.6526104417671	19.3433333333333	0.00559105667068802
"Glucose-Alanine Cycle"	"SMP0000127"	"Metabolic"	6	2	"HMDB0000161;HMDB0000148"	0.00197265059103527	0.00602409638554217	0.000516973978976391	11.6526104417671	19.3433333333333	0.00559105667068802
"Diclofenac Action Pathway"	"SMP0000093"	"Drug Action"	22	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00205454492115644	0.00903614457831325	0.00189557125624677	4.76697699890471	7.91318181818182	0.00559105667068802
"Indomethacin Action Pathway"	"SMP0000104"	"Drug Action"	22	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00205454492115644	0.00903614457831325	0.00189557125624677	4.76697699890471	7.91318181818182	0.00559105667068802
"Naproxen Action Pathway"	"SMP0000120"	"Drug Action"	22	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00205454492115644	0.00903614457831325	0.00189557125624677	4.76697699890471	7.91318181818182	0.00559105667068802
"Meloxicam Action Pathway"	"SMP0000106"	"Drug Action"	22	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00205454492115644	0.00903614457831325	0.00189557125624677	4.76697699890471	7.91318181818182	0.00559105667068802
"Valdecoxib Action Pathway"	"SMP0000116"	"Drug Action"	22	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00205454492115644	0.00903614457831325	0.00189557125624677	4.76697699890471	7.91318181818182	0.00559105667068802
"Salicylate-Sodium Action Pathway"	"SMP0000708"	"Drug Action"	22	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00205454492115644	0.00903614457831325	0.00189557125624677	4.76697699890471	7.91318181818182	0.00559105667068802
"Salicylic Acid Action Pathway"	"SMP0000709"	"Drug Action"	22	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00205454492115644	0.00903614457831325	0.00189557125624677	4.76697699890471	7.91318181818182	0.00559105667068802
"Acetaminophen  Action Pathway"	"SMP0000710"	"Drug Action"	22	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.00205454492115644	0.00903614457831325	0.00189557125624677	4.76697699890471	7.91318181818182	0.00559105667068802
"Celecoxib Action Pathway"	"SMP0000096"	"Drug Action"	23	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.0023424619353908	0.00903614457831325	0.00198173358607617	4.55971712938711	7.56913043478261	0.00627175292378827
"Nicotinate and Nicotinamide Metabolism"	"SMP0000048"	"Metabolic"	23	3	"HMDB0000232;HMDB0000641;HMDB0000148"	0.0023424619353908	0.00903614457831325	0.00198173358607617	4.55971712938711	7.56913043478261	0.00627175292378827
"Ibuprofen Action Pathway"	"SMP0000086"	"Drug Action"	25	3	"HMDB0001198;HMDB0000148;HMDB0001335"	0.0029902433249865	0.00903614457831325	0.00215405824573496	4.19493975903614	6.9636	0.00794208627116414
"Valine, Leucine, and Isoleucine Degradation"	"SMP0000032"	"Metabolic"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"beta-Ketothiolase Deficiency"	"SMP0000173"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"2-Methyl-3-hydroxybutyryl-CoA Dehydrogenase Deficiency"	"SMP0000137"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"Propionic Acidemia"	"SMP0000236"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency"	"SMP0000138"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"Maple Syrup Urine Disease"	"SMP0000199"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"3-Methylcrotonyl-CoA Carboxylase Deficiency Type I"	"SMP0000237"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"3-Methylglutaconic Aciduria Type I"	"SMP0000139"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"3-Methylglutaconic Aciduria Type III"	"SMP0000140"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"Methylmalonate Semialdehyde Dehydrogenase Deficiency"	"SMP0000384"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"Methylmalonic Aciduria"	"SMP0000200"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"Isovaleric Aciduria"	"SMP0000238"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"3-Methylglutaconic Aciduria Type IV"	"SMP0000141"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"3-Hydroxyisobutyric Acid Dehydrogenase Deficiency"	"SMP0000521"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"3-Hydroxyisobutyric Aciduria"	"SMP0000522"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"Isobutyryl-CoA Dehydrogenase Deficiency"	"SMP0000523"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"Isovaleric Acidemia"	"SMP0000524"	"Disease"	28	3	"HMDB0000687;HMDB0001356;HMDB0000148"	0.00415074641106229	0.00903614457831325	0.00241254523522316	3.74548192771084	6.2175	0.00970456203149775
"Selenoamino Acid Metabolism"	"SMP0000029"	"Metabolic"	11	2	"HMDB0000161;HMDB0000050"	0.00695933558290679	0.00602409638554217	0.000947785628123385	6.35596933187295	10.5509090909091	0.0161573385561193
"Tryptophan Metabolism"	"SMP0000063"	"Metabolic"	35	3	"HMDB0000161;HMDB0000148;HMDB0000232"	0.00780989000537868	0.00903614457831325	0.00301568154402895	2.99638554216867	4.974	0.0180061352901786
"Glycine and Serine Metabolism"	"SMP0000004"	"Metabolic"	36	3	"HMDB0000161;HMDB0000517;HMDB0000148"	0.0084473684608324	0.00903614457831325	0.00310184387385835	2.91315261044177	4.83583333333333	0.0185730220463335
"Dihydropyrimidine Dehydrogenase Deficiency (DHPD)"	"SMP0000179"	"Disease"	36	3	"HMDB0000161;HMDB0000517;HMDB0000148"	0.0084473684608324	0.00903614457831325	0.00310184387385835	2.91315261044177	4.83583333333333	0.0185730220463335
"Sarcosinemia"	"SMP0000244"	"Disease"	36	3	"HMDB0000161;HMDB0000517;HMDB0000148"	0.0084473684608324	0.00903614457831325	0.00310184387385835	2.91315261044177	4.83583333333333	0.0185730220463335
"Non-Ketotic Hyperglycinemia"	"SMP0000223"	"Disease"	36	3	"HMDB0000161;HMDB0000517;HMDB0000148"	0.0084473684608324	0.00903614457831325	0.00310184387385835	2.91315261044177	4.83583333333333	0.0185730220463335
"Dimethylglycine Dehydrogenase Deficiency"	"SMP0000484"	"Disease"	36	3	"HMDB0000161;HMDB0000517;HMDB0000148"	0.0084473684608324	0.00903614457831325	0.00310184387385835	2.91315261044177	4.83583333333333	0.0185730220463335
"Hyperglycinemia, Non-Ketotic"	"SMP0000485"	"Disease"	36	3	"HMDB0000161;HMDB0000517;HMDB0000148"	0.0084473684608324	0.00903614457831325	0.00310184387385835	2.91315261044177	4.83583333333333	0.0185730220463335
"3-Phosphoglycerate Dehydrogenase Deficiency"	"SMP0000721"	"Disease"	36	3	"HMDB0000161;HMDB0000517;HMDB0000148"	0.0084473684608324	0.00903614457831325	0.00310184387385835	2.91315261044177	4.83583333333333	0.0185730220463335
"Alanine Metabolism"	"SMP0000055"	"Metabolic"	13	2	"HMDB0000161;HMDB0000148"	0.00971898405822907	0.00602409638554217	0.00112011028778218	5.37812789620019	8.92769230769231	0.0208174368214971
"Primary Hyperoxaluria Type I"	"SMP0000352"	"Disease"	13	2	"HMDB0000161;HMDB0000148"	0.00971898405822907	0.00602409638554217	0.00112011028778218	5.37812789620019	8.92769230769231	0.0208174368214971
"Pyruvate Carboxylase Deficiency"	"SMP0000350"	"Disease"	13	2	"HMDB0000161;HMDB0000148"	0.00971898405822907	0.00602409638554217	0.00112011028778218	5.37812789620019	8.92769230769231	0.0208174368214971
"Lactic Acidemia"	"SMP0000313"	"Disease"	13	2	"HMDB0000161;HMDB0000148"	0.00971898405822907	0.00602409638554217	0.00112011028778218	5.37812789620019	8.92769230769231	0.0208174368214971
"Mercaptopurine Metabolism Pathway"	"SMP0000609"	"Drug Metabolism"	14	2	"HMDB0000641;HMDB0000588"	0.0112520883885611	0.00602409638554217	0.00120627261761158	4.99397590361446	8.29	0.0239467522115531
"Betaine Metabolism"	"SMP0000123"	"Metabolic"	15	2	"HMDB0001252;HMDB0000050"	0.0128839722977007	0.00602409638554217	0.00129243494744098	4.66104417670683	7.73733333333333	0.0260821878221746
"Lysine Degradation"	"SMP0000037"	"Metabolic"	15	2	"HMDB0000279;HMDB0000148"	0.0128839722977007	0.00602409638554217	0.00129243494744098	4.66104417670683	7.73733333333333	0.0260821878221746
"Glutaric Aciduria Type I-SMP0000186"	"SMP0000186"	"Disease"	15	2	"HMDB0000279;HMDB0000148"	0.0128839722977007	0.00602409638554217	0.00129243494744098	4.66104417670683	7.73733333333333	0.0260821878221746
"Saccharopinuria/Hyperlysinemia II"	"SMP0000239"	"Disease"	15	2	"HMDB0000279;HMDB0000148"	0.0128839722977007	0.00602409638554217	0.00129243494744098	4.66104417670683	7.73733333333333	0.0260821878221746
"Hyperlysinemia I, Familial"	"SMP0000527"	"Disease"	15	2	"HMDB0000279;HMDB0000148"	0.0128839722977007	0.00602409638554217	0.00129243494744098	4.66104417670683	7.73733333333333	0.0260821878221746
"Hyperlysinemia II or Saccharopinuria"	"SMP0000528"	"Disease"	15	2	"HMDB0000279;HMDB0000148"	0.0128839722977007	0.00602409638554217	0.00129243494744098	4.66104417670683	7.73733333333333	0.0260821878221746
"Pyridoxine Dependency with Seizures"	"SMP0000571"	"Disease"	15	2	"HMDB0000279;HMDB0000148"	0.0128839722977007	0.00602409638554217	0.00129243494744098	4.66104417670683	7.73733333333333	0.0260821878221746
"2-Aminoadipic 2-Oxoadipic Aciduria"	"SMP0000719"	"Disease"	15	2	"HMDB0000279;HMDB0000148"	0.0128839722977007	0.00602409638554217	0.00129243494744098	4.66104417670683	7.73733333333333	0.0260821878221746
"beta-Alanine Metabolism"	"SMP0000007"	"Metabolic"	19	2	"HMDB0000191;HMDB0000148"	0.0203499952135095	0.00602409638554217	0.00163708426675857	3.67977171845276	6.10842105263158	0.0404562779094919
"GABA-Transaminase Deficiency"	"SMP0000351"	"Disease"	19	2	"HMDB0000191;HMDB0000148"	0.0203499952135095	0.00602409638554217	0.00163708426675857	3.67977171845276	6.10842105263158	0.0404562779094919
"Carnosinuria, Carnosinemia"	"SMP0000493"	"Disease"	19	2	"HMDB0000191;HMDB0000148"	0.0203499952135095	0.00602409638554217	0.00163708426675857	3.67977171845276	6.10842105263158	0.0404562779094919
"Amino Sugar Metabolism"	"SMP0000045"	"Metabolic"	20	2	"HMDB0000641;HMDB0000148"	0.0224391781501626	0.00602409638554217	0.00172324659658797	3.49578313253012	5.803	0.0435661236599648
"Sialuria or French Type Sialuria"	"SMP0000216"	"Disease"	20	2	"HMDB0000641;HMDB0000148"	0.0224391781501626	0.00602409638554217	0.00172324659658797	3.49578313253012	5.803	0.0435661236599648
"Salla Disease/Infantile Sialic Acid Storage Disease"	"SMP0000240"	"Disease"	20	2	"HMDB0000641;HMDB0000148"	0.0224391781501626	0.00602409638554217	0.00172324659658797	3.49578313253012	5.803	0.0435661236599648
"Tay-Sachs Disease"	"SMP0000390"	"Disease"	20	2	"HMDB0000641;HMDB0000148"	0.0224391781501626	0.00602409638554217	0.00172324659658797	3.49578313253012	5.803	0.0435661236599648
"Tyrosine Metabolism"	"SMP0000006"	"Metabolic"	28	2	"HMDB0000148;HMDB0000191"	0.0420092967376897	0.00602409638554217	0.00241254523522316	2.49698795180723	4.145	0.0774838139828499
"Alkaptonuria"	"SMP0000169"	"Disease"	28	2	"HMDB0000148;HMDB0000191"	0.0420092967376897	0.00602409638554217	0.00241254523522316	2.49698795180723	4.145	0.0774838139828499
"Hawkinsinuria"	"SMP0000190"	"Disease"	28	2	"HMDB0000148;HMDB0000191"	0.0420092967376897	0.00602409638554217	0.00241254523522316	2.49698795180723	4.145	0.0774838139828499
"Tyrosinemia Type I"	"SMP0000218"	"Disease"	28	2	"HMDB0000148;HMDB0000191"	0.0420092967376897	0.00602409638554217	0.00241254523522316	2.49698795180723	4.145	0.0774838139828499
"Tyrosinemia, Transient, of the Newborn"	"SMP0000494"	"Disease"	28	2	"HMDB0000148;HMDB0000191"	0.0420092967376897	0.00602409638554217	0.00241254523522316	2.49698795180723	4.145	0.0774838139828499
"Dopamine beta-Hydroxylase Deficiency"	"SMP0000498"	"Disease"	28	2	"HMDB0000148;HMDB0000191"	0.0420092967376897	0.00602409638554217	0.00241254523522316	2.49698795180723	4.145	0.0774838139828499
"Monoamine Oxidase-A Deficiency (MAO-A)"	"SMP0000533"	"Disease"	28	2	"HMDB0000148;HMDB0000191"	0.0420092967376897	0.00602409638554217	0.00241254523522316	2.49698795180723	4.145	0.0774838139828499
"The Oncogenic Action of 2-Hydroxyglutarate"	"SMP0002291"	"Disease"	28	2	"HMDB0000148;HMDB0000641"	0.0420092967376897	0.00602409638554217	0.00241254523522316	2.49698795180723	4.145	0.0774838139828499
"The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxyglutaric aciduria "	"SMP0002358"	"Disease"	28	2	"HMDB0000148;HMDB0000641"	0.0420092967376897	0.00602409638554217	0.00241254523522316	2.49698795180723	4.145	0.0774838139828499
"The Oncogenic Action of D-2-Hydroxyglutarate in Hydroxyglutaric aciduria "	"SMP0002359"	"Disease"	29	2	"HMDB0000148;HMDB0000641"	0.0447810883011121	0.00602409638554217	0.00249870756505256	2.41088491898629	4.00206896551724	0.0821398967733106
"Pyrimidine Metabolism"	"SMP0000046"	"Metabolic"	30	2	"HMDB0000641;HMDB0001202"	0.0476185546051021	0.00602409638554217	0.00258486989488196	2.33052208835341	3.86866666666667	0.0849965598327629
"beta-Ureidopropionase Deficiency"	"SMP0000172"	"Disease"	30	2	"HMDB0000641;HMDB0001202"	0.0476185546051021	0.00602409638554217	0.00258486989488196	2.33052208835341	3.86866666666667	0.0849965598327629
"UMP Synthase Deficiency (Orotic Aciduria)"	"SMP0000219"	"Disease"	30	2	"HMDB0000641;HMDB0001202"	0.0476185546051021	0.00602409638554217	0.00258486989488196	2.33052208835341	3.86866666666667	0.0849965598327629
"Dihydropyrimidinase Deficiency"	"SMP0000178"	"Disease"	30	2	"HMDB0000641;HMDB0001202"	0.0476185546051021	0.00602409638554217	0.00258486989488196	2.33052208835341	3.86866666666667	0.0849965598327629
"MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)"	"SMP0000202"	"Disease"	30	2	"HMDB0000641;HMDB0001202"	0.0476185546051021	0.00602409638554217	0.00258486989488196	2.33052208835341	3.86866666666667	0.0849965598327629
"Chlorothiazide Action Pathway"	"SMP0000078"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Bendroflumethiazide Action Pathway"	"SMP0000090"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Hydrochlorothiazide Action Pathway"	"SMP0000100"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Indapamide Action Pathway"	"SMP0000110"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Furosemide Action Pathway"	"SMP0000115"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Torsemide Action Pathway"	"SMP0000118"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Chlorthalidone Action Pathway"	"SMP0000122"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Triamterene Action Pathway"	"SMP0000132"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Atenolol Action Pathway"	"SMP0000298"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Metoprolol Action Pathway"	"SMP0000302"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Nadolol Action Pathway"	"SMP0000303"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Mexiletine Action Pathway"	"SMP0000329"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Diltiazem Action Pathway"	"SMP0000359"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Verapamil Action Pathway"	"SMP0000375"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Nifedipine Action Pathway"	"SMP0000379"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Rosiglitazone Metabolism Pathway"	"SMP0000653"	"Drug Metabolism"	5	1	"HMDB0005031"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Epinephrine Action Pathway"	"SMP0000661"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Amiodarone Action Pathway"	"SMP0000665"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Metipranolol Action Pathway"	"SMP0000667"	"Drug Action"	5	1	"HMDB0000588"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Succinate Signalling"	"SMP0083294"	"Protein"	5	1	"HMDB0000641"	0.0569804665156942	0.00301204819277108	0.000430811649146993	6.99156626506023	11.606	0.0918325965204392
"Disulfiram Action Pathway"	"SMP0000429"	"Drug Action"	35	2	"HMDB0000148;HMDB0000191"	0.0627257613133731	0.00602409638554217	0.00301568154402895	1.99759036144578	3.316	0.100603636502608
"Trehalose Degradation"	"SMP0000467"	"Metabolic"	6	1	"HMDB0000588"	0.0679820297006261	0.00301204819277108	0.000516973978976391	5.82630522088353	9.67166666666667	0.103478530651766
"Thyroid Hormone Synthesis"	"SMP0000716"	"Metabolic"	6	1	"HMDB0000588"	0.0679820297006261	0.00301204819277108	0.000516973978976391	5.82630522088353	9.67166666666667	0.103478530651766
"Nitric Oxide Signaling Pathway"	"SMP0063777"	"Protein"	6	1	"HMDB0000517"	0.0679820297006261	0.00301204819277108	0.000516973978976391	5.82630522088353	9.67166666666667	0.103478530651766
"Phenylacetate Metabolism"	"SMP0000126"	"Metabolic"	7	1	"HMDB0000641"	0.0788556272737854	0.00301204819277108	0.00060313630880579	4.99397590361445	8.29	0.103478530651766
"Lactose Degradation"	"SMP0000457"	"Metabolic"	7	1	"HMDB0000588"	0.0788556272737854	0.00301204819277108	0.00060313630880579	4.99397590361445	8.29	0.103478530651766
"Lactose Intolerance"	"SMP0000458"	"Disease"	7	1	"HMDB0000588"	0.0788556272737854	0.00301204819277108	0.00060313630880579	4.99397590361445	8.29	0.103478530651766
