"reactome_name"	"reactome_id"	"up_reactome_name"	"up_reactome_id"	"HMDB.ID"	"N_met"
"Recycling of bile acids and salts"	"R-HSA-159418"	"Bile acid and bile salt metabolism"	"R-HSA-194068"	"HMDB0002111;HMDB0000949;HMDB0000951;HMDB0000626;HMDB0000588"	5
"Gamma-carboxylation of protein precursors"	"R-HSA-159740"	"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins"	"R-HSA-159854"	"HMDB0002111;HMDB0001377;HMDB0001967;HMDB0030017;HMDB0030020"	5
"Sulfide oxidation to sulfate"	"R-HSA-1614517"	"Degradation of cysteine and homocysteine"	"R-HSA-1614558"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0003125;HMDB0000125;HMDB0015532;HMDB0001072"	7
"Cysteine formation from homocysteine"	"R-HSA-1614603"	"Sulfur amino acid metabolism"	"R-HSA-1614635"	"HMDB0002111;HMDB0000051;HMDB0033934;HMDB0000099;HMDB0003178;HMDB0000005"	6
"Sulfur amino acid metabolism"	"R-HSA-1614635"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0000050;HMDB0000547;HMDB0002274;HMDB0000586;HMDB0015532"	7
"Triglyceride catabolism"	"R-HSA-163560"	"Triglyceride metabolism"	"R-HSA-8979227"	"HMDB0002111;HMDB0000067;HMDB0000305;HMDB0003648;HMDB0000131"	5
"Synthesis of PIPs at the plasma membrane"	"R-HSA-1660499"	"PI Metabolism"	"R-HSA-1483255"	"HMDB0002111;HMDB0001273;HMDB0000547;HMDB0001333;HMDB0000464"	5
"Synthesis of PIPs at the Golgi membrane"	"R-HSA-1660514"	"PI Metabolism"	"R-HSA-1483255"	"HMDB0002111;HMDB0001273;HMDB0000547;HMDB0001333;HMDB0000464"	5
"Sphingolipid de novo biosynthesis"	"R-HSA-1660661"	"Sphingolipid metabolism"	"R-HSA-428157"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000220;HMDB0001967;HMDB0000269;HMDB0001383;HMDB0000224;HMDB0060482;HMDB0001551;HMDB0012089;HMDB0012092;HMDB0012096;HMDB0001480;HMDB0006752;HMDB0004610;HMDB0004628;HMDB0062807;HMDB0303351"	19
"Glycosphingolipid metabolism"	"R-HSA-1660662"	"Sphingolipid metabolism"	"R-HSA-428157"	"HMDB0002111;HMDB0012089;HMDB0012092;HMDB0012096;HMDB0003345;HMDB0001565;HMDB0000547;HMDB0000143;HMDB0000077;HMDB0000464;HMDB0062807"	11
"DARPP-32 events"	"R-HSA-180024"	"Opioid Signalling"	"R-HSA-111885"	"HMDB0002111;HMDB0000692;HMDB0015531;HMDB0001333;HMDB0015532;HMDB0000464"	6
"Norepinephrine Neurotransmitter Release Cycle"	"R-HSA-181430"	"Neurotransmitter release cycle"	"R-HSA-112310"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0006242"	7
"Synthesis of IP2, IP, and Ins in the cytosol"	"R-HSA-1855183"	"Inositol phosphate metabolism"	"R-HSA-1483249"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000211;HMDB0000968;HMDB0006814;HMDB0006234;HMDB0000213;HMDB0001313;HMDB0000547;HMDB0006235;HMDB0000692;HMDB0001401;HMDB0304318"	14
"Signaling by PDGF"	"R-HSA-186797"	"Signaling by Receptor Tyrosine Kinases"	"R-HSA-9006934"	"HMDB0002111;HMDB0014542;HMDB0254344;HMDB0257137;HMDB0256144;HMDB0254011"	6
"Digestion of dietary carbohydrate"	"R-HSA-189085"	"Digestion"	"R-HSA-8935690"	"HMDB0002111;HMDB0000975;HMDB0062641;HMDB0035312;HMDB0003345;HMDB0000258;HMDB0003255;HMDB0003403;HMDB0001514"	9
"Heme biosynthesis"	"R-HSA-189451"	"Metabolism of porphyrins"	"R-HSA-189445"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000241;HMDB0001097;HMDB0001086;HMDB0001261;HMDB0003125;HMDB0001967;HMDB0000961;HMDB0003178;HMDB0001162;HMDB0041827;HMDB0000692;HMDB0015532"	15
"Heme degradation"	"R-HSA-189483"	"Metabolism of porphyrins"	"R-HSA-189445"	"HMDB0002111;HMDB0001377;HMDB0060169;HMDB0000221;HMDB0001361;HMDB0003178;HMDB0000295;HMDB0304435;HMDB0000692;HMDB0015532;HMDB0004160;HMDB0004158"	12
"Cholesterol biosynthesis"	"R-HSA-191273"	"Metabolism of steroids"	"R-HSA-8957322"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000256;HMDB0001188;HMDB0001278;HMDB0304356;HMDB0001090;HMDB0001120;HMDB0000067;HMDB0000221;HMDB0001251;HMDB0001967;HMDB0001347;HMDB0001285;HMDB0000961;HMDB0001023;HMDB0010315;HMDB0304435;HMDB0006271;HMDB0001286;HMDB0000547;HMDB0001915;HMDB0006839;HMDB0014543;HMDB0304222;HMDB0302447"	27
"Synthesis of bile acids and bile salts"	"R-HSA-192105"	"Bile acid and bile salt metabolism"	"R-HSA-194068"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000067;HMDB0000626;HMDB0000692"	6
"Digestion of dietary lipid"	"R-HSA-192456"	"Digestion"	"R-HSA-8935690"	"HMDB0002111;HMDB0000220;HMDB0000067;HMDB0000305;HMDB0003648;HMDB0000131"	6
"Estrogen biosynthesis"	"R-HSA-193144"	"Metabolism of steroid hormones"	"R-HSA-196071"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0304356;HMDB0000053;HMDB0000151;HMDB0000221;HMDB0000145;HMDB0000234;HMDB0304435"	10
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol"	"R-HSA-193368"	"Synthesis of bile acids and bile salts"	"R-HSA-192105"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001275;HMDB0000067;HMDB0003125;HMDB0003533;HMDB0000221;HMDB0001457;HMDB0000949;HMDB0000951;HMDB0000359;HMDB0001231;HMDB0001496;HMDB0001993;HMDB0304435;HMDB0000601;HMDB0006892;HMDB0006891;HMDB0006895;HMDB0006894;HMDB0006889;HMDB0006893;HMDB0002197;HMDB0006896;HMDB0012455;HMDB0000626;HMDB0060305;HMDB0062224"	29
"Ceramide signalling"	"R-HSA-193681"	"p75 NTR receptor-mediated signalling"	"R-HSA-193704"	"HMDB0002111;HMDB0012089;HMDB0012092;HMDB0012096;HMDB0001565;HMDB0000547"	6
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol"	"R-HSA-193775"	"Synthesis of bile acids and bile salts"	"R-HSA-192105"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000067;HMDB0000221;HMDB0304435;HMDB0006890;HMDB0001419;HMDB0060136;HMDB0062224;HMDB0062416;HMDB0062208;HMDB0062206"	13
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol"	"R-HSA-193807"	"Synthesis of bile acids and bile salts"	"R-HSA-192105"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000067;HMDB0000221;HMDB0001231;HMDB0304435;HMDB0006281;HMDB0012455;HMDB0000626;HMDB0062420;HMDB0062400"	12
"Mineralocorticoid biosynthesis"	"R-HSA-193993"	"Metabolism of steroid hormones"	"R-HSA-196071"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0000319;HMDB0000253;HMDB0001547;HMDB0000016;HMDB0001830;HMDB0304435;HMDB0000037;HMDB0062521"	12
"Glucocorticoid biosynthesis"	"R-HSA-194002"	"Metabolism of steroid hormones"	"R-HSA-196071"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0000253;HMDB0002802;HMDB0000016;HMDB0001830;HMDB0000374;HMDB0000063;HMDB0304435;HMDB0000037;HMDB0000015;HMDB0000363;HMDB0062522"	15
"Metabolism of folate and pterines"	"R-HSA-196757"	"Metabolism of water-soluble vitamins and cofactors"	"R-HSA-196849"	"HMDB0002111;HMDB0059597;HMDB0304356;HMDB0000221;HMDB0001967;HMDB0304435;HMDB0000121;HMDB0006825;HMDB0062623"	9
"Vitamin D (calciferol) metabolism"	"R-HSA-196791"	"Metabolism of steroids"	"R-HSA-8957322"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000032;HMDB0001903;HMDB0003550;HMDB0000876;HMDB0015567;HMDB0015046"	9
"Nicotinate metabolism"	"R-HSA-196807"	"Metabolism of water-soluble vitamins and cofactors"	"R-HSA-196849"	"HMDB0002111;HMDB0059597;HMDB0001132;HMDB0000855;HMDB0001967;HMDB0001406;HMDB0304435;HMDB0001179;HMDB0000547;HMDB0015532"	10
"Vitamin C (ascorbate) metabolism"	"R-HSA-196836"	"Metabolism of water-soluble vitamins and cofactors"	"R-HSA-196849"	"HMDB0002111;HMDB0059597;HMDB0003125;HMDB0003178;HMDB0006293;HMDB0000588"	6
"Vitamin B5 (pantothenate) metabolism"	"R-HSA-199220"	"Metabolism of water-soluble vitamins and cofactors"	"R-HSA-196849"	"HMDB0002111;HMDB0003426;HMDB0002991;HMDB0000588;HMDB0250782"	5
"Linoleic acid (LA) metabolism"	"R-HSA-2046105"	"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism"	"R-HSA-2046104"	"HMDB0002111;HMDB0001377;HMDB0006368;HMDB0001064;HMDB0000221;HMDB0001967;HMDB0000673;HMDB0304435;HMDB0000547;HMDB0003947;HMDB0001976"	11
"alpha-linolenic acid (ALA) metabolism"	"R-HSA-2046106"	"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism"	"R-HSA-2046104"	"HMDB0002111;HMDB0001377;HMDB0001275;HMDB0003125;HMDB0000221;HMDB0001967;HMDB0304435;HMDB0000547;HMDB0001388;HMDB0060311;HMDB0060312;HMDB0060313"	12
"Hypusine synthesis from eIF5A-lysine"	"R-HSA-204626"	"Gamma carboxylation, hypusine formation and arylsulfatase activation"	"R-HSA-163841"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000002;HMDB0000692"	5
"Thyroxine biosynthesis"	"R-HSA-209968"	"Metabolism of amine-derived hormones"	"R-HSA-209776"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0003125;HMDB0012238;HMDB0000221;HMDB0000675;HMDB0304435;HMDB0000248;HMDB0000021;HMDB0060074;HMDB0000588;HMDB0059634"	13
"Glutamate Neurotransmitter Release Cycle"	"R-HSA-210500"	"Neurotransmitter release cycle"	"R-HSA-112310"	"HMDB0002111;HMDB0059597;HMDB0041827;HMDB0000588;HMDB0000586;HMDB0000464"	6
"Fatty acids"	"R-HSA-211935"	"Cytochrome P450 - arranged by substrate type"	"R-HSA-211897"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0304435;HMDB0244455;HMDB0000638;HMDB0004264;HMDB0002190;HMDB0002232;HMDB0002059"	11
"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2"	"R-HSA-211957"	"Xenobiotics"	"R-HSA-211981"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0062723;HMDB0001426;HMDB0013195;HMDB0304435;HMDB0001860;HMDB0001847"	10
"Eicosanoids"	"R-HSA-211979"	"Cytochrome P450 - arranged by substrate type"	"R-HSA-211897"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001335;HMDB0001381;HMDB0001452;HMDB0001509;HMDB0001085;HMDB0002995;HMDB0000221;HMDB0304435"	11
"Xenobiotics"	"R-HSA-211981"	"Cytochrome P450 - arranged by substrate type"	"R-HSA-211897"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0001426;HMDB0000234;HMDB0304435;HMDB0029594;HMDB0013856;HMDB0006552;HMDB0029865;HMDB0255987;HMDB0015256;HMDB0258755;HMDB0001218;HMDB0060552;HMDB0006558;HMDB0006543;HMDB0015360;HMDB0006408;HMDB0006468;HMDB0041905;HMDB0014010;HMDB0011664;HMDB0255118;HMDB0004999;HMDB0014397;HMDB0000466"	28
"Sterols are 12-hydroxylated by CYP8B1"	"R-HSA-211994"	"Endogenous sterols"	"R-HSA-211976"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001993;HMDB0002197;HMDB0062400"	6
"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)"	"R-HSA-2142670"	"Arachidonic acid metabolism"	"R-HSA-2142753"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000547;HMDB0004264;HMDB0002190;HMDB0002232;HMDB0002265;HMDB0002314;HMDB0002311;HMDB0002343"	11
"Synthesis of 5-eicosatetraenoic acids"	"R-HSA-2142688"	"Arachidonic acid metabolism"	"R-HSA-2142753"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001193;HMDB0011134;HMDB0000692;HMDB0000464;HMDB0010217"	8
"Synthesis of Leukotrienes (LT) and Eoxins (EX)"	"R-HSA-2142691"	"Arachidonic acid metabolism"	"R-HSA-2142753"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001193;HMDB0001509;HMDB0001085;HMDB0002995;HMDB0002200;HMDB0001337;HMDB0001198;HMDB0006059;HMDB0004234;HMDB0003080;HMDB0000692;HMDB0015532;HMDB0000464;HMDB0012641;HMDB0005087;HMDB0005088"	19
"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)"	"R-HSA-2142696"	"Arachidonic acid metabolism"	"R-HSA-2142753"	"HMDB0002111;HMDB0001377;HMDB0000692;HMDB0004690;HMDB0001965"	5
"Synthesis of Lipoxins (LX)"	"R-HSA-2142700"	"Biosynthesis of specialized proresolving mediators (SPMs)"	"R-HSA-9018678"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0004244;HMDB0001193;HMDB0001337;HMDB0000692;HMDB0000464;HMDB0062294;HMDB0062291;HMDB0004385;HMDB0005082"	12
"Synthesis of 12-eicosatetraenoic acid derivatives"	"R-HSA-2142712"	"Arachidonic acid metabolism"	"R-HSA-2142753"	"HMDB0002111;HMDB0001377;HMDB0004243;HMDB0000692;HMDB0004692;HMDB0006111;HMDB0013633"	7
"Arachidonic acid metabolism"	"R-HSA-2142753"	"Fatty acid metabolism"	"R-HSA-8978868"	"HMDB0002111;HMDB0000149;HMDB0004080;HMDB0000464;HMDB0011619"	5
"Synthesis of 15-eicosatetraenoic acid derivatives"	"R-HSA-2142770"	"Arachidonic acid metabolism"	"R-HSA-2142753"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0003876;HMDB0010210;HMDB0004244;HMDB0000692;HMDB0062294"	8
"Ubiquinol biosynthesis"	"R-HSA-2142789"	"Metabolism of cofactors"	"R-HSA-8978934"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001185;HMDB0000221;HMDB0001967;HMDB0001347;HMDB0000939;HMDB0000961;HMDB0304435;HMDB0000547;HMDB0000692;HMDB0000500;HMDB0060250;HMDB0060249;HMDB0060252;HMDB0006251;HMDB0062197;HMDB0062428;HMDB0062350;HMDB0013111"	21
"Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)"	"R-HSA-2142816"	"Arachidonic acid metabolism"	"R-HSA-2142753"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000221;HMDB0304435;HMDB0005998;HMDB0062302;HMDB0012598"	8
"Abacavir metabolism"	"R-HSA-2161541"	"Abacavir ADME"	"R-HSA-2161522"	"HMDB0002111;HMDB0059597;HMDB0000050;HMDB0000195;HMDB0000547;HMDB0015532;HMDB0015182"	7
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)"	"R-HSA-2162123"	"Arachidonic acid metabolism"	"R-HSA-2142753"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0003175;HMDB0002776;HMDB0012481;HMDB0001220;HMDB0001335;HMDB0001139;HMDB0001381;HMDB0001403;HMDB0062297;HMDB0001452;HMDB0000699;HMDB0000125;HMDB0002710;HMDB0060095;HMDB0010199;HMDB0011137;HMDB0003235;HMDB0014905;HMDB0002752;HMDB0004236;HMDB0004238;HMDB0002886;HMDB0004240;HMDB0004242;HMDB0003252;HMDB0302214;HMDB0005079;HMDB0014959;HMDB0005014;HMDB0001859;HMDB0006112;HMDB0015565;HMDB0005033;HMDB0004685;HMDB0012535;HMDB0015403"	39
"FMO oxidises nucleophiles"	"R-HSA-217271"	"Phase I - Functionalization of compounds"	"R-HSA-211945"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000925;HMDB0000221;HMDB0304435;HMDB0000906;HMDB0000547;HMDB0014813;HMDB0014901;HMDB0060513"	11
"The retinoid cycle in cones (daylight vision)"	"R-HSA-2187335"	"Visual phototransduction"	"R-HSA-2187338"	"HMDB0002111;HMDB0059597;HMDB0000220;HMDB0002152;HMDB0060338;HMDB0006216;HMDB0000305;HMDB0001358"	8
"Crosslinking of collagen fibrils"	"R-HSA-2243919"	"Assembly of collagen fibrils and other multimeric structures"	"R-HSA-2022090"	"HMDB0002111;HMDB0001377;HMDB0002496;HMDB0002500;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0000657"	8
"Metabolism of ingested SeMet, Sec, MeSec into H2Se"	"R-HSA-2408508"	"Selenoamino acid metabolism"	"R-HSA-2408522"	"HMDB0002111;HMDB0000051;HMDB0033934;HMDB0000050;HMDB0011110;HMDB0003288;HMDB0000699;HMDB0001406;HMDB0003178;HMDB0001875;HMDB0000547;HMDB0006343;HMDB0004113;HMDB0000898;HMDB0000586;HMDB0003966;HMDB0000005;HMDB0060488;HMDB0062526;HMDB0004119"	20
"Metabolism of ingested H2SeO4 and H2SeO3 into H2Se"	"R-HSA-2408550"	"Selenoamino acid metabolism"	"R-HSA-2408522"	"HMDB0002111;HMDB0059597;HMDB0011110;HMDB0062761;HMDB0004112;HMDB0011104"	6
"Selenocysteine synthesis"	"R-HSA-2408557"	"Selenoamino acid metabolism"	"R-HSA-2408522"	"HMDB0002111;HMDB0059597;HMDB0011110;HMDB0003288;HMDB0000547"	5
"Retinoid cycle disease events"	"R-HSA-2453864"	"Diseases associated with visual transduction"	"R-HSA-2474795"	"HMDB0002111;HMDB0059597;HMDB0002152;HMDB0006216;HMDB0000305;HMDB0001358"	6
"The canonical retinoid cycle in rods (twilight vision)"	"R-HSA-2453902"	"Visual phototransduction"	"R-HSA-2187338"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000220;HMDB0002152;HMDB0000207;HMDB0006216;HMDB0000305;HMDB0000673;HMDB0003648;HMDB0001358;HMDB0303351"	12
"Activation of the phototransduction cascade"	"R-HSA-2485179"	"The phototransduction cascade"	"R-HSA-2514856"	"HMDB0002111;HMDB0001314;HMDB0000588;HMDB0000586;HMDB0000464"	5
"Inactivation, recovery and regulation of the phototransduction cascade"	"R-HSA-2514859"	"The phototransduction cascade"	"R-HSA-2514856"	"HMDB0002111;HMDB0001521;HMDB0001314;HMDB0001358;HMDB0000547;HMDB0000464;HMDB0251465;HMDB0062426"	8
"Insulin processing"	"R-HSA-264876"	"Peptide hormone metabolism"	"R-HSA-2980736"	"HMDB0002111;HMDB0001377;HMDB0003125;HMDB0015532;HMDB0000464;HMDB0062762"	6
"Detoxification of Reactive Oxygen Species"	"R-HSA-3299685"	"Cellular response to chemical stress"	"R-HSA-9711123"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001340;HMDB0003125;HMDB0000221;HMDB0003378;HMDB0000125;HMDB0003178;HMDB0304435;HMDB0002168;HMDB0001333;HMDB0000657;HMDB0015532"	14
"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand"	"R-HSA-3371497"	"Cellular responses to stress"	"R-HSA-2262752"	"HMDB0002111;HMDB0002961;HMDB0000053;HMDB0001547;HMDB0000016;HMDB0001830;HMDB0000234;HMDB0000063;HMDB0000037;HMDB0015364;HMDB0014537"	11
"Interconversion of polyamines"	"R-HSA-351200"	"Metabolism of polyamines"	"R-HSA-351202"	"HMDB0002111;HMDB0001377;HMDB0003125;HMDB0001276;HMDB0001106;HMDB0012880;HMDB0062644"	7
"Enzymatic degradation of dopamine by COMT"	"R-HSA-379397"	"Dopamine clearance from the synaptic cleft"	"R-HSA-379401"	"HMDB0002111;HMDB0001377;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0000118"	6
"Enzymatic degradation of Dopamine by monoamine oxidase"	"R-HSA-379398"	"Dopamine clearance from the synaptic cleft"	"R-HSA-379401"	"HMDB0002111;HMDB0001377;HMDB0000051;HMDB0033934;HMDB0003125;HMDB0000118"	6
"Metabolism of serotonin"	"R-HSA-380612"	"Serotonin clearance from the synaptic cleft"	"R-HSA-380615"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0003125;HMDB0000763;HMDB0041827;HMDB0004073"	7
"ABC-family proteins mediated transport"	"R-HSA-382556"	"Transport of small molecules"	"R-HSA-382551"	"HMDB0002111;HMDB0001358;HMDB0000492;HMDB0000586;HMDB0015364"	5
"Alpha-oxidation of phytanate"	"R-HSA-389599"	"Peroxisomal lipid metabolism"	"R-HSA-390918"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001295;HMDB0003419;HMDB0001359;HMDB0304356;HMDB0000801;HMDB0000221;HMDB0001967;HMDB0304435;HMDB0000547;HMDB0000692;HMDB0001958;HMDB0002057"	15
"Glyoxylate metabolism and glycine degradation"	"R-HSA-389661"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001185;HMDB0003125;HMDB0000221;HMDB0000119;HMDB0002329;HMDB0001983;HMDB0006483;HMDB0000962;HMDB0304435;HMDB0041827"	13
"Beta-oxidation of very long chain fatty acids"	"R-HSA-390247"	"Peroxisomal lipid metabolism"	"R-HSA-390918"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001070;HMDB0003125;HMDB0000221;HMDB0001967;HMDB0304435;HMDB0003949;HMDB0003950;HMDB0006459"	11
"Ca2+ pathway"	"R-HSA-4086398"	"Beta-catenin independent WNT signaling"	"R-HSA-3858494"	"HMDB0002111;HMDB0001314;HMDB0015531;HMDB0015532;HMDB0000464"	5
"G alpha (s) signalling events"	"R-HSA-418555"	"GPCR downstream signalling"	"R-HSA-388396"	"HMDB0002111;HMDB0001220;HMDB0001335;HMDB0001403;HMDB0000050;HMDB0012275;HMDB0000547;HMDB0000626;HMDB0015532;HMDB0014380"	10
"Passive transport by Aquaporins"	"R-HSA-432047"	"Aquaporin-mediated transport"	"R-HSA-445717"	"HMDB0002111;HMDB0002496;HMDB0002500;HMDB0000294;HMDB0012238;HMDB0000662;HMDB0002878;HMDB0000131;HMDB0000492"	9
"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion"	"R-HSA-434316"	"Free fatty acids regulate insulin secretion"	"R-HSA-400451"	"HMDB0002111;HMDB0000220;HMDB0000207;HMDB0001201;HMDB0000638;HMDB0000826;HMDB0005031"	7
"Synthesis of Dolichyl-phosphate"	"R-HSA-446199"	"Synthesis of substrates in N-glycan biosythesis"	"R-HSA-446219"	"HMDB0002111;HMDB0001513;HMDB0001090;HMDB0005176;HMDB0001967;HMDB0001347;HMDB0000961"	7
"Interconversion of nucleotide di- and triphosphates"	"R-HSA-499943"	"Metabolism of nucleotides"	"R-HSA-15869"	"HMDB0002111;HMDB0059597;HMDB0000547;HMDB0041827;HMDB0015531"	5
"TET1,2,3 and TDG demethylate DNA"	"R-HSA-5221030"	"Epigenetic regulation of gene expression"	"R-HSA-212165"	"HMDB0002111;HMDB0001377;HMDB0001967;HMDB0002894;HMDB0000692;HMDB0246202;HMDB0246797"	7
"Ion homeostasis"	"R-HSA-5578775"	"Cardiac conduction"	"R-HSA-5576891"	"HMDB0002111;HMDB0059597;HMDB0000588;HMDB0000586;HMDB0000464"	5
"TP53 Regulates Metabolic Genes"	"R-HSA-5628897"	"Transcriptional Regulation by TP53"	"R-HSA-3700989"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0003125;HMDB0001127;HMDB0001361;HMDB0001047;HMDB0041827"	8
"Melanin biosynthesis"	"R-HSA-5662702"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001967;HMDB0001229;HMDB0004058;HMDB0000657;HMDB0015532;HMDB0004067;HMDB0062734;HMDB0062793"	11
"Protein repair"	"R-HSA-5676934"	"Metabolism of proteins"	"R-HSA-392499"	"HMDB0002111;HMDB0003125;HMDB0062174;HMDB0002393;HMDB0062762"	5
"Surfactant metabolism"	"R-HSA-5683826"	"Metabolism of proteins"	"R-HSA-392499"	"HMDB0002111;HMDB0000051;HMDB0033934;HMDB0000050;HMDB0000195;HMDB0000588;HMDB0015532"	7
"Respiratory electron transport"	"R-HSA-611105"	"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."	"R-HSA-163200"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0001361;HMDB0001072"	5
"tRNA modification in the nucleus and cytosol"	"R-HSA-6782315"	"tRNA processing"	"R-HSA-72306"	"HMDB0002111;HMDB0001185;HMDB0001120;HMDB0000051;HMDB0033934;HMDB0000132;HMDB0000939;HMDB0001495;HMDB0000692"	9
"Synthesis of wybutosine at G37 of tRNA(Phe)"	"R-HSA-6782861"	"tRNA modification in the nucleus and cytosol"	"R-HSA-6782315"	"HMDB0002111;HMDB0001377;HMDB0001185;HMDB0001967;HMDB0000939;HMDB0001983;HMDB0001173;HMDB0000692"	8
"Antimicrobial peptides"	"R-HSA-6803157"	"Innate Immune System"	"R-HSA-168249"	"HMDB0002111;HMDB0013470;HMDB0062641;HMDB0060493;HMDB0000803;HMDB0015532;HMDB0000464"	7
"Ion influx/efflux at host-pathogen interface"	"R-HSA-6803544"	"Antimicrobial peptides"	"R-HSA-6803157"	"HMDB0002111;HMDB0059597;HMDB0000692;HMDB0001333;HMDB0015532"	5
"Cholesterol biosynthesis via desmosterol"	"R-HSA-6807047"	"Cholesterol biosynthesis"	"R-HSA-191273"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000067;HMDB0006842;HMDB0002719;HMDB0006271;HMDB0003896"	8
"Cholesterol biosynthesis via lathosterol"	"R-HSA-6807062"	"Cholesterol biosynthesis"	"R-HSA-191273"	"HMDB0002111;HMDB0059597;HMDB0001377;HMDB0000067;HMDB0006841;HMDB0001170;HMDB0000032;HMDB0006271"	8
"Glycolysis"	"R-HSA-70171"	"Glucose metabolism"	"R-HSA-70326"	"HMDB0002111;HMDB0059597;HMDB0001254;HMDB0000131;HMDB0003345;HMDB0003514;HMDB0000547;HMDB0001047;HMDB0041827;HMDB0000586;HMDB0000094"	11
"Glycogen breakdown (glycogenolysis)"	"R-HSA-70221"	"Glycogen metabolism"	"R-HSA-8982491"	"HMDB0002111;HMDB0003345;HMDB0000547;HMDB0001333;HMDB0000464"	5
"Gluconeogenesis"	"R-HSA-70263"	"Glucose metabolism"	"R-HSA-70326"	"HMDB0002111;HMDB0059597;HMDB0001967;HMDB0003345;HMDB0000547;HMDB0001333"	6
"Fructose catabolism"	"R-HSA-70350"	"Fructose metabolism"	"R-HSA-5652084"	"HMDB0002111;HMDB0059597;HMDB0000547;HMDB0000660;HMDB0000586"	5
"Urea cycle"	"R-HSA-70635"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0000294;HMDB0001138;HMDB0041827;HMDB0001333;HMDB0062762"	6
"Branched-chain amino acid catabolism"	"R-HSA-70895"	"Metabolism of amino acids and derivatives"	"R-HSA-71291"	"HMDB0002111;HMDB0059597;HMDB0001356;HMDB0001157;HMDB0002054;HMDB0001243;HMDB0001057;HMDB0001275;HMDB0001967;HMDB0000019;HMDB0001011;HMDB0001052;HMDB0001333;HMDB0304000"	14
